"tipo";"en";"fr";"japones_literal";"propuesta_1";"propuesta_2";"propuesta_3";"decision";"glosario_actual";"notas";"japones_original";"gameKeys";"usos"
"territory, zone";"Old Sharlayan";"Vieille Sharlayan";"Vieja Sharlayan (inglés transcrito)";"Vieja Sharlayan";"Sharlayan Antigua";"";"Vieja Sharlayan";"la Vieja Sharlayan";"";"オールド・シャーレアン";"PlaceName#3706.0,PlaceName#3744.0";"aetheryte,map,marker,territory,zone"
"territory, zone";"Rhalgr's Reach";"L'Étendue de Rhalgr";"Alcance de Rhalgr (inglés transcrito)";"Alcance de Rhalgr";"Refugio de Rhalgr";"Extensión de Rhalgr";"Refugio de Rhalgr";"la Extensión de Rhalgr";"";"ラールガーズリーチ";"PlaceName#2403.0,PlaceName#2504.0,PlaceName#4137.0";"aetheryte,duty,map,marker,territory,zone"
"territory, zone";"Solution Nine";"Solution Neuf";"Solución Nueve (inglés transcrito)";"Solución Nueve";"Solución 9";"";"Solución Nueve";"Solución Nueve";"Conservar la alusión al nombre Solution Nine al elegir su forma española.";"ソリューション・ナイン";"PlaceName#4503.0,PlaceName#4514.0";"aetheryte,duty,map,marker,territory,zone"
"zone";"ウルヴズジェイル";"Antre des loups";"Cárcel de los Lobos (inglés transcrito)";"Guarida de los Lobos";"La Lobera";"";"Guarida de los Lobos";"";"La columna EN contiene japonés. Coordinar con Wolves' Den Pier.";"ウルヴズジェイル";"PlaceName#501.0";"zone"
"zone";"ゴールドソーサー";"Gold Saucer";"Platillo Dorado (inglés transcrito)";"Platillo Dorado";"Platillo de Oro";"Gold Saucer";"Gold Saucer";"";"La columna EN contiene japonés. Misma decisión que The Gold Saucer.";"ゴールドソーサー";"PlaceName#503.0";"zone"
"territory";"<italic(1)>The Merchant's Tale<italic(0)>";"Contes du Camelot";"Relato del mercader viajero";"<italic(1)>El Relato del Mercader<italic(0)>";"<italic(1)>El Cuento del Mercader<italic(0)>";"Cuento del Mercader";"El Cuento del Mercader";"El Cuento del Mercader";"";"商客物語";"PlaceName#5372.0";"duty,map,territory"
"territory";"A Future Rewritten";"Avenirs réécrits";"Otro futuro";"Un Futuro Reescrito";"Un Porvenir Reescrito";"";"Un Futuro Reescrito";"";"";"もうひとつの未来";"PlaceName#5137.0";"duty,map,territory"
"territory";"Aetherochemical Research Facility";"Laboratoire de magismologie";"Instituto de investigación de ciencia mágica";"Centro de Investigación Eteroquímica";"Laboratorio de Investigación Eteroquímica";"";"Centro de Investigación Eteroquímica";"";"";"魔科学研究所";"PlaceName#2147.0";"duty,map,marker,territory"
"territory";"Akh Afah Amphitheatre";"Amphithéâtre d'Akh Afah";"Anfiteatro de Akh Afah";"Anfiteatro de Akh Afah";"Coliseo de Akh Afah";"";"Anfiteatro de Akh Afah";"";"";"アク・アファー円形劇場";"PlaceName#1399.0";"duty,map,territory"
"territory";"Alexandria Crater";"Vestiges d'Alexandrie";"Vestigios del reino de Alexandria";"Cráter de Alexandria";"Fosa de Alexandria";"";"Cráter de Alexandria";"";"";"アレクサンドリア王国跡地";"PlaceName#4762.0";"map,territory"
"territory";"Aloalo Island";"Île d'Aloalo";"Isla de Aloalo";"Isla de Aloalo";"Isla Aloalo";"";"Isla de Aloalo";"";"";"アロアロ島";"PlaceName#4383.0";"duty,map,territory"
"territory";"Alzadaal's Legacy";"Legs d'Alzadaal";"Ruinas submarinas de Alzadaal";"Legado de Alzadaal";"Herencia de Alzadaal";"";"Legado de Alzadaal";"Alzadaal's Legacy";"Protegido en el glosario; revisar esa protección si se traduce.";"アルザダール海底遺跡群";"PlaceName#4035.0,PlaceName#4154.0";"duty,map,marker,territory"
"territory";"Amdapor Keep";"Château d'Amdapor";"Antiguo castillo de Amdapor; variante con «expulsión del culto maligno»";"Fortaleza de Amdapor";"Castillo de Amdapor";"Bastión de Amdapor";"Fortaleza de Amdapor";"";"";"古城アムダプール / 邪教排撃 古城アムダプール";"PlaceName#128.0,PlaceName#1063.0";"duty,map,marker,territory"
"territory";"Andron";"Chambre à coucher";"Sala de descanso (inglés transcrito); variante con «posada»";"Andrón";"Sala de Reposo";"";"Andrón";"";"";"ナップルーム / ナップルーム(宿屋)";"PlaceName#2565.0,PlaceName#3818.0";"map,territory"
"territory";"Another Aloalo Island";"Île d'Aloalo annexe";"Otra historia de la isla de Aloalo";"Otra Isla de Aloalo";"Isla Aloalo Alternativa";"";"Otra Isla de Aloalo";"";"Coordinar con la variante base del mismo lugar.";"異聞アロアロ島";"PlaceName#4416.0";"duty,map,territory"
"territory";"Another Merchant's Tale";"Contes du Camelot annexes";"Otro relato del mercader viajero";"Otro Relato del Mercader";"Otro Cuento del Mercader";"";"Otro Cuento del Mercader";"";"Coordinar con la variante base del mismo lugar.";"異聞商客物語";"PlaceName#5474.0";"duty,territory"
"territory";"Another Mount Rokkon";"Mont Rokkon annexe";"Otra historia de la montaña de las seis raíces";"Otro Monte Rokkon";"Monte Rokkon Alternativo";"";"Otro Monte Rokkon";"";"Coordinar con la variante base del mismo lugar.";"異聞六根山";"PlaceName#4338.0";"duty,map,territory"
"territory";"Another Sil'dihn Subterrane";"Canalisations sildiennes annexes";"Otra historia de los canales de Sil'dih";"Otros Subterráneos de Sil'dih";"Canales Alternativos de Sil'dih";"";"Otros Canales de Sil'dih";"";"Coordinar con la variante base del mismo lugar.";"異聞シラディハ水道";"PlaceName#4227.0";"duty,map,territory"
"territory";"Archeia Harmonias";"La Bibliothèque Harmonia";"Biblioteca de guerra Harmonia";"Archivos de Harmonia";"Biblioteca de Harmonia";"";"Biblioteca de Harmonia";"";"";"ハルモニア戦争図書館";"PlaceName#4096.0";"duty,map,territory"
"territory";"Ascension";"Trône divin";"Trono de dios";"Ascensión";"La Ascensión";"";"Trono divino";"";"";"神の座";"PlaceName#4375.0";"duty,map,territory"
"territory";"Ashfall";"Bassin cendreux";"Trayecto de cenizas";"Lluvia de Cenizas";"Caída de Ceniza";"";"Lluvia de Cenizas";"";"";"灰の旅程";"PlaceName#3469.0";"duty,map,territory"
"territory";"Atlas Peak";"Mont Atlas";"Cumbre del Atlas";"Pico Atlas";"Cumbre del Atlas";"";"Pico Atlas";"";"";"アトラス山頂";"PlaceName#3217.0";"duty,map,territory"
"territory";"Aurum Vale";"Val d'Aurum";"Valle de Aurum (inglés transcrito); variante con «marcha entre la niebla»";"Valle de Aurum";"Valle Áureo";"";"Valle Áureo";"";"";"オーラムヴェイル / 霧中行軍 オーラムヴェイル";"PlaceName#65.0,PlaceName#1054.0";"duty,map,territory"
"territory";"Baelsar's Wall";"Muraille de Baelsar";"Gran muralla de Baelsar";"Muralla de Baelsar";"Muro de Baelsar";"";"Muralla de Baelsar";"";"";"バエサルの長城";"PlaceName#1857.0,PlaceName#2612.0";"duty,map,marker,territory"
"territory";"Bardam's Mettle";"Force de Bardam";"Senda de la hegemonía de Bardam";"Temple de Bardam";"Valor de Bardam";"";"Temple de Bardam";"Bardam's Mettle";"Protegido en el glosario; revisar esa protección si se traduce.";"バルダム覇道";"PlaceName#2833.0";"duty,map,marker,territory"
"territory";"Bentini Depot";"Gare de Bendini";"Estación de mercancías de Bentini";"Estación de Carga de Bentini";"Depósito de Bentini";"";"Estación de Carga de Bentini";"";"";"ベンティーニ貨物駅";"PlaceName#4763.0";"map,territory"
"territory";"Beyond the Stars";"Confins de l'univers";"Confín último del cielo";"Más Allá de las Estrellas";"Allende las Estrellas";"";"Más Allá de las Estrellas";"";"";"天の最果て";"PlaceName#4021.0";"duty,map,territory"
"territory";"Blasting Ring";"Ring du Bombardement brutal";"Ring del Bombardero (inglés transcrito)";"Cuadrilátero Explosivo";"Ring de las Explosiones";"";"Cuadrilátero Explosivo";"";"";"リング・オブ・ボンバー";"PlaceName#5114.0";"duty,map,territory"
"territory";"Blue Sky";"Ciel azur";"Cielo Azul (inglés transcrito)";"Cielo Azul";"Cielo Azur";"";"Cielo Azul";"";"";"ブルースカイ";"PlaceName#2548.0";"duty,map,territory"
"territory";"Blunderville";"Blunderville";"Blunderville (nombre inglés transcrito, villa de los errores)";"Villa Disparate";"Villa Traspiés";"";"Villa Disparate";"";"";"ブランダーヴィル";"PlaceName#4469.0";"duty,map,territory"
"territory";"Blunderville Square";"Square du Blunderville";"Plaza de Blunderville (inglés transcrito)";"Plaza de Villa Disparate";"Plaza de Blunderville";"";"Plaza de Villa Disparate";"";"";"ブランダーヴィルスクウェア";"PlaceName#4468.0";"map,territory"
"territory";"Bokairo Inn";"Auberge du Bokairo";"Pabellón con vistas al mar";"Posada Bokairo";"Posada del Bokairo";"";"Posada Bokairo";"";"";"望海楼";"PlaceName#1950.0,PlaceName#2413.0,PlaceName#2910.0";"aethernet,map,marker,territory"
"territory";"Bowl of Embers";"Cratère des tisons";"Lugar de culto del emperador de las llamas";"Cuenco de las Brasas";"Cráter de las Ascuas";"Cráter de las Brasas";"Cráter de las Brasas";"the Bowl of Embers";"Protegido en el glosario; revisar esa protección si se traduce.";"炎帝祭跡";"PlaceName#357.0";"duty,map,territory"
"territory";"Bozjan Southern Front";"Front sud de Bozja";"Frente meridional de Bozja";"Frente Sur de Bozja";"Frente Meridional de Bozja";"";"Frente Sur de Bozja";"";"";"南方ボズヤ戦線";"PlaceName#3534.0";"duty,map,territory"
"territory";"Brayflox's Longstop";"Bivouac de Brayflox";"Campamento de Brayflox; variante con «apoyo a la reconquista»";"Campamento de Brayflox";"Alto de Brayflox";"Refugio de Brayflox";"Campamento de Brayflox";"";"";"ブレイフロクスの野営地 / 奪還支援 ブレイフロクスの野営地";"PlaceName#36.0,PlaceName#212.0,PlaceName#685.0,PlaceName#1057.0";"duty,map,marker,territory"
"territory";"Break Room";"Salle de repos";"Sala para dormir una siesta";"Sala de Descanso";"Sala de Reposo";"";"Sala de Descanso";"";"";"仮眠室";"PlaceName#4759.0";"map,territory"
"territory";"Breath of the Creator";"Le Souffle du Créateur";"Aliento de Alexander (inglés transcrito)";"Aliento del Creador";"Soplo del Creador";"";"Aliento del Creador";"";"";"ブレス・オブ・アレキサンダー";"PlaceName#1841.0";"duty,map,territory"
"territory";"Bygone Gaol";"Prison d'Eulmore";"Bloque penitenciario de Eulmore";"Prisión Olvidada";"Antigua Prisión";"";"Prisión Olvidada";"";"";"ユールモア監獄棟";"PlaceName#3595.0";"duty,map,territory"
"territory";"Carteneau Flats: Borderland Ruins";"Ruines frontalières";"Llanuras de Carteneau: ruinas de la periferia";"Llanuras de Carteneau: Ruinas Fronterizas";"Llanuras de Carteneau: Vestigios de la Frontera";"";"Llanuras de Carteneau: Vestigios de la Frontera";"";"";"カルテノー平原：外縁遺跡群";"PlaceName#1374.0";"duty,map,territory"
"territory";"Castrum Marinum Drydocks";"Cale sèche de Castrum Marinum";"Dique seco de Castellum Marinum (nombre transcrito)";"Diques Secos de Castrum Marinum";"Astilleros de Castrum Marinum";"";"Diques Secos de Castrum Marinum";"";"";"カステッルム・マリヌム・ドライドック";"PlaceName#3581.0";"duty,map,territory"
"territory";"Cenote Ja Ja Gural";"Cénote Ja Ja Gural";"Cenote Ja Ja Gural (nombre transcrito)";"Cenote de Ja Ja Gural";"Cenote Ja Ja Gural";"";"Cenote de Ja Ja Gural";"";"";"セノーテ・ジャジャグラル";"PlaceName#5000.0";"duty,map,territory"
"territory";"Central Azys Lla";"Cœur d'Azys Lla";"Núcleo del continente mágico";"Azys Lla Central";"Centro de Azys Lla";"";"Azys Lla Central";"";"";"魔大陸中枢";"PlaceName#2179.0";"map,territory"
"territory";"Central Decks";"Secteur central RCI-03";"Tercera nave de clase Ragnarok: sección central del casco";"Cubiertas Centrales";"Sección Central";"";"Cubiertas Centrales";"";"";"ラグナロク級三番艦：艦体中央部";"PlaceName#1303.0";"duty,map,territory"
"territory";"Central Shroud";"Forêt centrale";"Bosque de la Vestidura Negra: bosque central";"Sudario Central";"Bosque Central";"Sudario Negro Central";"Bosque central";"el Sudario Central";"";"黒衣森：中央森林";"PlaceName#54.0";"duty,map,marker,territory"
"territory";"Central Thanalan";"Thanalan central";"Thanalan central";"Thanalan Central";"Centro de Thanalan";"";"Centro de Thanalan";"";"";"中央ザナラーン";"PlaceName#43.0";"duty,map,marker,territory"
"territory";"Chocobo Square";"Square des chocobos";"Plaza de los Chocobos (inglés transcrito)";"Plaza de los Chocobos";"Plaza Chocobo";"";"Plaza Chocobo";"";"";"チョコボスクウェア";"PlaceName#1500.0,PlaceName#1524.0";"aethernet,duty,map,mapsub,marker,territory"
"territory";"Cid's Memory";"Mémoire de Cid";"Espacio de los recuerdos de Cid";"Recuerdo de Cid";"Memoria de Cid";"";"Recuerdo de Cid";"";"";"シドの記憶空間";"PlaceName#3479.0";"duty,map,territory"
"territory";"Cinder Drift";"Les Nuées de Brandons";"Línea defensiva de Ghimlyt";"Deriva de Cenizas";"Nubes de Ascuas";"";"Deriva de Cenizas";"";"";"ギムリト防衛ライン";"PlaceName#3442.0";"duty,map,territory"
"territory";"Cloud Nine";"Le Petit Nuage / Les Neuf-Nuages";"Nube Nueve (inglés transcrito) / posada «Nueve Nubes»";"Novena Nube";"Las Nueve Nubes";"";"Novena Nube";"";"";"クラウドナイン / 旅籠「九つの雲」";"PlaceName#2310.0,PlaceName#4092.0";"duty,map,marker,territory"
"territory";"Coerthas Central Highlands";"Hautes terres du Coerthas central";"Tierras altas centrales de Coerthas";"Tierras Altas Centrales de Coerthas";"Altos Centrales de Coerthas";"";"Tierras Altas Centrales de Coerthas";"";"";"クルザス中央高地";"PlaceName#63.0";"duty,map,marker,territory"
"territory";"Coerthas Western Highlands";"Hautes terres du Coerthas occidental";"Tierras altas occidentales de Coerthas";"Tierras Altas Occidentales de Coerthas";"Altos Occidentales de Coerthas";"";"Tierras Altas Occidentales de Coerthas";"";"";"クルザス西部高地";"PlaceName#2200.0";"duty,map,marker,territory"
"territory";"Command Room";"Salle de commandement / Salon de l'Amiral";"Puente del Almirante: despacho del almirante / sala de mando";"Sala de Mando";"Sala de Comando";"";"Sala de Mando";"";"";"アドミラルブリッジ：提督室 / 司令室";"PlaceName#351.0,PlaceName#3500.0";"map,marker,territory"
"territory";"Company Workshop - Empyreum";"Atelier de compagnie - Empyrée";"Empíreo: taller subterráneo";"Taller de Compañía - Empíreo";"Taller de la Compañía Libre de el Empíreo";"";"Taller de Compañía - Empíreo";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"エンピレアム：地下工房";"PlaceName#3693.0";"map,territory"
"territory";"Company Workshop - Mist";"Atelier de compagnie - Brumée";"Aldea de la Bruma: taller subterráneo";"Taller de Compañía - Bruma";"Taller de la Compañía Libre de la Bruma";"";"Taller de Compañía - Bruma";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ミスト・ヴィレッジ：地下工房";"PlaceName#1227.0";"map,territory"
"territory";"Company Workshop - Shirogane";"Atelier de compagnie - Shirogane";"Shirogane: taller subterráneo";"Taller de Compañía - Shirogane";"Taller de la Compañía Libre de Shirogane";"";"Taller de Compañía - Shirogane";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"シロガネ：地下工房";"PlaceName#2271.0";"map,territory"
"territory";"Company Workshop - The Goblet";"Atelier de compagnie - La Coupe";"Butte de la Copa: taller subterráneo";"Taller de Compañía - La Copa";"Taller de la Compañía Libre de la Copa";"";"Taller de Compañía - El Cáliz";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ゴブレットビュート：地下工房";"PlaceName#1228.0";"map,territory"
"territory";"Company Workshop - The Lavender Beds";"Atelier de compagnie - Lavandière";"Lechos de Lavanda: taller subterráneo";"Taller de Compañía - Lavandales";"Taller de la Compañía Libre de los Lavandales";"";"Taller de Compañía - Las Camas de Lavanda";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ラベンダーベッド：地下工房";"PlaceName#1229.0";"map,territory"
"territory";"Containment Bay P1T6";"Unité de contention P1P6";"Bahía de Contención P1T6 (inglés transcrito)";"Bahía de Contención P1T6";"Cámara de Contención P1T6";"";"Cámara de Contención P1T6";"";"";"コンテイメントベイP1T6";"PlaceName#2265.0";"duty,map,territory"
"territory";"Containment Bay S1T7";"Unité de contention S1P7";"Bahía de Contención S1T7 (inglés transcrito)";"Bahía de Contención S1T7";"Cámara de Contención S1T7";"";"Cámara de Contención S1T7";"";"";"コンテイメントベイS1T7";"PlaceName#2256.0";"duty,map,territory"
"territory";"Containment Bay Z1T9";"Unité de contention Z1P9";"Bahía de Contención Z1T9 (inglés transcrito)";"Bahía de Contención Z1T9";"Cámara de Contención Z1T9";"";"Cámara de Contención Z1T9";"";"";"コンテイメントベイZ1T9";"PlaceName#2266.0";"duty,map,territory"
"territory";"Containment Complex 10-29";"Division d'entreposage 10-29";"Compartimento de almacenamiento 10-29";"Complejo de Contención 10-29";"Recinto de Contención 10-29";"";"Recinto de Contención 10-29";"";"";"格納殻10-29";"PlaceName#4948.0";"map,territory"
"territory";"Copperbell Mines";"Mines de Clochecuivre";"Minas de cobre de Copperbell; variante con «galería clausurada»";"Minas de Campanacobre";"Minas de la Campana de Cobre";"Minas de Copperbell";"Minas de Campanacobre";"";"Copperbell es descriptivo; las opciones permiten traducirlo o conservar esa parte.";"カッパーベル銅山 / 封鎖坑道 カッパーベル銅山";"PlaceName#48.0,PlaceName#267.0,PlaceName#1052.0";"duty,map,marker,territory"
"territory";"Cutter's Cry";"Gouffre hurlant";"Grito del Cortador (inglés transcrito); variante con «laberinto de arenas movedizas»";"Grito del Cortador";"Garganta del Aullido";"Grito del Cantero";"Garganta del Aullido";"";"";"カッターズクライ / 流砂迷宮 カッターズクライ";"PlaceName#47.0,PlaceName#377.0,PlaceName#1061.0";"duty,map,marker,territory"
"territory";"Dalamud's Shadow";"Ombrage du Météore";"Lugar a la sombra del Meteoro";"Sombra de Dalamud";"Umbría de Dalamud";"";"Sombra de Dalamud";"";"";"メテオの陰地";"PlaceName#1301.0";"duty,map,territory"
"territory";"Deltascape V1.0";"Deltastice v1.0";"Mundo de pruebas «Delta» V1.0";"Deltascape V1.0";"Deltamundo V1.0";"Deltapanorama V1.0";"Deltascape V1.0";"";"Aplicar el mismo criterio a las tres familias y conservar la versión.";"被検世界「デルタ」V1.0";"PlaceName#2357.0";"duty,map,territory"
"territory";"Deltascape V2.0";"Deltastice v2.0";"Mundo de pruebas «Delta» V2.0";"Deltascape V2.0";"Deltamundo V2.0";"Deltapanorama V2.0";"Deltascape V2.0";"";"Aplicar el mismo criterio a las tres familias y conservar la versión.";"被検世界「デルタ」V2.0";"PlaceName#2358.0";"duty,map,territory"
"territory";"Deltascape V3.0";"Deltastice v3.0";"Mundo de pruebas «Delta» V3.0";"Deltascape V3.0";"Deltamundo V3.0";"Deltapanorama V3.0";"Deltascape V3.0";"";"Aplicar el mismo criterio a las tres familias y conservar la versión.";"被検世界「デルタ」V3.0";"PlaceName#2359.0";"duty,map,territory"
"territory";"Deltascape V4.0";"Deltastice v4.0";"Mundo de pruebas «Delta» V4.0";"Deltascape V4.0";"Deltamundo V4.0";"Deltapanorama V4.0";"Deltascape V4.0";"";"Aplicar el mismo criterio a las tres familias y conservar la versión.";"被検世界「デルタ」V4.0";"PlaceName#2360.0";"duty,map,territory"
"territory";"Demolition Site";"Site de con<->struc<->tion du huitième étage";"Zona de construcción del octavo nivel";"Zona de Demolición";"Área de Demolición";"";"Zona de Demolición";"";"";"第八層建設区域";"PlaceName#5155.0";"duty,map,territory"
"territory";"Doma Castle";"Château de Doma";"Castillo de Doma / frente al castillo de Doma";"Castillo de Doma";"Fortaleza de Doma";"";"Castillo de Doma";"el Castillo de Doma";"";"ドマ城 / ドマ城前";"PlaceName#1037.0,PlaceName#2810.0";"duty,map,marker,territory"
"territory";"Dreamlike Palace";"Palais au parfum onirique";"Palacio que desprende aroma de sueños";"Palacio Onírico";"Palacio de Ensueño";"";"Palacio Onírico";"";"";"夢香る宮殿";"PlaceName#5121.0";"duty,map,marker,territory"
"territory";"Dusk Vigil";"Vigile du Crépuscule";"Vigilia del Crepúsculo (inglés transcrito)";"Vigilia del Crepúsculo";"Vigía del Ocaso";"";"Vigilia del Crepúsculo";"";"";"ダスクヴィジル";"PlaceName#2214.0";"duty,map,marker,territory"
"territory";"Dzemael Darkhold";"Forteresse de Dzemael";"Fortaleza de Dzemael; variante con «operación de limpieza»";"Fortaleza de Dzemael";"Bastión Oscuro de Dzemael";"";"Fortaleza de Dzemael";"";"";"ゼーメル要塞 / 掃討作戦 ゼーメル要塞";"PlaceName#64.0,PlaceName#399.0,PlaceName#1062.0";"duty,map,marker,territory"
"territory";"Earthen Sky Hideout";"Refuge des Cavernes célestes";"Escondite de la galería del cielo";"Refugio del Cielo Subterráneo";"Escondite del Cielo de Tierra";"";"Refugio del Cielo Subterráneo";"";"";"空の坑道のアジト";"PlaceName#4748.0";"map,marker,territory"
"territory";"East Shroud";"Forêt de l'est";"Bosque de la Vestidura Negra: bosque oriental";"Sudario Oriental";"Bosque Oriental";"Sudario Negro Oriental";"Bosque del este";"el Sudario Oriental";"";"黒衣森：東部森林";"PlaceName#55.0";"duty,map,marker,territory"
"territory";"Eastern La Noscea";"Noscea orientale";"La Noscea oriental";"La Noscea Oriental";"Este de La Noscea";"";"La Noscea Oriental";"";"";"東ラノシア";"PlaceName#32.0";"duty,map,marker,territory"
"territory";"Eastern Thanalan";"Thanalan oriental";"Thanalan oriental";"Thanalan Oriental";"Este de Thanalan";"";"Este de Thanalan";"";"";"東ザナラーン";"PlaceName#44.0";"duty,map,marker,territory"
"territory";"Emanation";"Émanation";"Templo subterráneo de la diosa de la belleza";"Emanación";"La Emanación";"";"Emanación";"";"";"美神の地下神殿";"PlaceName#2299.0";"duty,map,territory"
"territory";"Empyreum";"Empyrée";"Empíreo (nombre transcrito)";"Empíreo";"El Empíreo";"";"Empíreo";"";"";"エンピレアム";"PlaceName#3687.0,PlaceName#4139.0";"map,mapsub,marker,territory"
"territory";"Eorzean Alliance Headquarters";"Quartier général de l'Alliance";"Cuartel general del ejército de la Alianza de Eorzea";"Cuartel General de la Alianza de Eorzea";"Sede de la Alianza de Eorzea";"";"Cuartel General de la Alianza de Eorzea";"";"";"エオルゼア同盟軍本陣";"PlaceName#2862.0";"map,territory"
"territory";"Eorzean Subterrane";"Sous-sol éorzéen";"Espacio subterráneo de Eorzea";"Subsuelo de Eorzea";"Subterráneos de Eorzea";"";"Subsuelo de Eorzea";"";"";"エオルゼア地下空間";"PlaceName#152.0";"map,marker,territory"
"territory";"Estinien's Chambers";"Chambre d'Estinien";"Habitación de invitados de Estinien";"Aposentos de Estinien";"Habitación de Estinien";"";"Aposentos de Estinien";"";"";"エスティニアンの客室";"PlaceName#4380.0";"map,territory"
"territory";"Excavation Tunnels";"Entrée des ruines mécaniques";"Galería de las ruinas mecánicas";"Túneles de Excavación";"Galerías de Excavación";"";"Túneles de Excavación";"";"";"機械遺跡の坑道";"PlaceName#3427.0";"map,marker,territory"
"territory";"Eyes of the Creator";"Les Yeux du Créateur";"Ojos de Alexander (inglés transcrito)";"Ojos del Creador";"Mirada del Creador";"";"Ojos del Creador";"";"";"アイズ・オブ・アレキサンダー";"PlaceName#1835.0";"duty,map,territory"
"territory";"First Board of the Unbroken";"1er plateau";"Entrenamiento de combate de bestias: primer tablero";"Primer Tablero de los Invictos";"Primer Tablero de los Indómitos";"Primer Tablero de los Inquebrantables";"Primer Tablero de los Inquebrantables";"Primer Tablero de los Inquebrantables";"";"闘獣練 第一盤";"PlaceName#5597.0";"duty,map,territory"
"territory";"First Master's Board";"1er plateau expert";"Entrenamiento de combate de bestias: primer tablero especial";"Primer Tablero del Maestro";"Primer Tablero Magistral";"";"Primer Tablero del Maestro";"Primer Tablero del Maestro";"";"闘獣練 特一盤";"PlaceName#5600.0";"duty,map,territory"
"territory";"Flame Barracks";"Caserne des Immortels";"Cuartel de la unidad inmortal";"Cuartel de las Llamas Inmortales";"Barracones de las Llamas Inmortales";"";"Cuartel de las Llamas Inmortales";"";"";"不滅隊兵舎";"PlaceName#1801.0";"map,marker,territory"
"territory";"Fortemps Manor";"Manoir des Fortemps";"Mansión del conde Fortemps";"Mansión Fortemps";"Mansión de los Fortemps";"";"Mansión Fortemps";"";"";"フォルタン伯爵邸";"PlaceName#2320.0";"map,marker,territory"
"territory";"Foundation";"Ishgard - L'Assise";"Ishgard: nivel inferior";"Los Cimientos";"Ishgard: Los Cimientos";"";"Los Cimientos";"";"";"イシュガルド：下層";"PlaceName#2300.0";"aetheryte,duty,map,marker,territory"
"territory";"Frondale's Home for Friendless Foundlings";"Clinique pédiatrique de l'Académie médicale de Frondale";"Ala pediátrica de la academia farmacéutica de Frondale";"Orfanato de Frondale";"Hogar de Acogida de Frondale";"";"Orfanato de Frondale";"";"";"フロンデール薬学院小児病棟";"PlaceName#695.0";"map,territory"
